# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
diphotonCat=5
proc=ggh
EBlowR9scale        0.0023     0.0291     0.0027    
EBlowR9smear        0.0001     0.0715     0.0023    
EBhighR9scale       0.0048     0.0556     0.0025    
EBhighR9smear       0.0001     0.1956     0.0079    
EElowR9scale        0.0002     0.0097     0.0002    
EElowR9smear        0.0001     0.0011     0.0015    
EEhighR9scale       0.0034     0.0388     0.0092    
EEhighR9smear       0.0001     0.0792     0.0021    

diphotonCat=5
proc=vbf
EBlowR9scale        0.0025     0.0233     0.0010    
EBlowR9smear        0.0000     0.0812     0.0005    
EBhighR9scale       0.0047     0.0490     0.0007    
EBhighR9smear       0.0000     0.1655     0.0007    
EElowR9scale        0.0005     0.0039     0.0009    
EElowR9smear        0.0001     0.0151     0.0005    
EEhighR9scale       0.0038     0.0718     0.0028    
EEhighR9smear       0.0001     0.0670     0.0031    

diphotonCat=5
proc=wh
EBlowR9scale        0.0022     0.0360     0.0065    
EBlowR9smear        0.0001     0.0922     0.0052    
EBhighR9scale       0.0051     0.0502     0.0164    
EBhighR9smear       0.0001     0.1750     0.0160    
EElowR9scale        0.0003     0.0058     0.0023    
EElowR9smear        0.0001     0.0097     0.0021    
EEhighR9scale       0.0038     0.0432     0.0036    
EEhighR9smear       0.0007     0.0564     0.0057    

diphotonCat=5
proc=zh
EBlowR9scale        0.0033     0.0795     0.0024    
EBlowR9smear        0.0004     0.1099     0.0157    
EBhighR9scale       0.0043     0.0871     0.0074    
EBhighR9smear       0.0006     0.1848     0.0101    
EElowR9scale        0.0004     0.0137     0.0151    
EElowR9smear        0.0001     0.0251     0.0112    
EEhighR9scale       0.0031     0.0331     0.0117    
EEhighR9smear       0.0006     0.0605     0.0081    

diphotonCat=5
proc=tth
EBlowR9scale        0.0021     0.0315     0.0034    
EBlowR9smear        0.0001     0.0954     0.0016    
EBhighR9scale       0.0055     0.0515     0.0038    
EBhighR9smear       0.0001     0.2624     0.0029    
EElowR9scale        0.0002     0.0012     0.0019    
EElowR9smear        0.0001     0.0073     0.0023    
EEhighR9scale       0.0014     0.0158     0.0019    
EEhighR9smear       0.0000     0.0338     0.0009    

diphotonCat=6
proc=ggh
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
